username,full_name,role,district,staff_id,phone
DMS-KD-01,Mohamed Sillah,DMS Staff,KOINADUGU,SL-DMS-KD-01,076111001
DMS-KD-02,Fatima Koroma,DMS Staff,KOINADUGU,SL-DMS-KD-02,076111002
CNV-KD-01,Abdul Conteh,Conveyor,KOINADUGU,SL-CNV-KD-01,076555001
CNV-KD-02,Sorie Kamara,Conveyor,KOINADUGU,SL-CNV-KD-02,076555002
DMS-PL-01,Ibrahim Bangura,DMS Staff,PORT LOKO,SL-DMS-PL-01,076222001
DMS-PL-02,Mariama Sesay,DMS Staff,PORT LOKO,SL-DMS-PL-02,076222002
CNV-PL-01,Alusine Fofanah,Conveyor,PORT LOKO,SL-CNV-PL-01,076666001
CNV-PL-02,Hawa Bangura,Conveyor,PORT LOKO,SL-CNV-PL-02,076666002
DMS-BN-01,Alhaji Conteh,DMS Staff,BONTHE,SL-DMS-BN-01,076333001
DMS-BN-02,Aminata Kanu,DMS Staff,BONTHE,SL-DMS-BN-02,076333002
CNV-BN-01,Sullay Mansaray,Conveyor,BONTHE,SL-CNV-BN-01,076777001
CNV-BN-02,Isatu Turay,Conveyor,BONTHE,SL-CNV-BN-02,076777002
DMS-PJ-01,Bockarie Koroma,DMS Staff,Pujehun,SL-DMS-PJ-01,076444001
DMS-PJ-02,Lansana Turay,DMS Staff,Pujehun,SL-DMS-PJ-02,076444002
CNV-PJ-01,Brima Koroma,Conveyor,Pujehun,SL-CNV-PJ-01,076888001
CNV-PJ-02,Memunatu Sesay,Conveyor,Pujehun,SL-CNV-PJ-02,076888002
